stage,blocker,issue_id,risk_id,pitfall_id,evidence_gap_id,current_control,residual_blocker,gate_effect,owner,next_evidence_or_decision,validator
Stage 2,Legal order-maker and statutory submitter route,ISS-0001,RISK-0001,PIT-0001,,Legal and governance route controls,Monitoring Officer route and statutory submitter evidence absent,Blocks approval OBC reliance FBC reliance and statutory submission,Legal Review Agent,Source-supported Monitoring Officer route decision authority and signatory evidence,python3 scripts/validate_registers.py
Stage 2,WECA/MCA role consent no-role and funding dependency,ISS-0002,RISK-0002,PIT-0002,,WECA/MCA role classifier and bounded context packet,Current-law role and funding-dependency disposition absent,Blocks route conclusion and funding-assurance reliance,WECA Governance Agent,Current-law role consent/no-role consultation-response and funding-dependency evidence,python3 scripts/validate_registers.py
Stage 2,DfT WPL-specific process,ISS-0008,RISK-0003,PIT-0003,,DfT engagement and confirmation controls,WPL-specific DfT procedural source or logged response absent,Blocks statutory-route readiness,Legal Review Agent,WPL-specific DfT process source or logged DfT response,python3 scripts/validate_statutory_dossier.py
Stage 4,Boundary and workplace parking inventory,ISS-0003,RISK-0004,PIT-0004,EG-0014,Boundary manifest topology and inventory controls,Authoritative GIS licences legal/GIS reconciliation and canonical inventory absent,Blocks revenue displacement EqIA consultation OBC FBC and scheme-order reliance,Spatial Data Agent,Authoritative boundary licences topology QA legal/GIS reconciliation and inventory,python3 scripts/validate_spatial.py
Stage 4,Residential spillover and CPZ/RPZ mitigation,ISS-0003,RISK-0004,PIT-0005,EG-0046,Displacement controls and Nottingham transferability checklist,Street baseline option maps costs enforcement capacity equality screening and consultation route absent,Blocks mitigation-readiness and displacement-impact claims,Spatial Data Agent,Residential baseline stress map CPZ/RPZ option evidence equality screen and enforcement assessment,python3 scripts/validate_nottingham_transferability.py
Stage 5,Options appraisal model outputs BCR and VFM,ISS-0004,RISK-0005,PIT-0007,,OAR ASR ASST and model-card controls,Decision-grade appraisal outputs absent,Blocks economic-case BCR VFM and preferred-option claims,Appraisal Guidance Agent,OAR ASR ASST model outputs uncertainty and reviewer status,python3 scripts/validate_appraisal.py
Stage 18A,Nottingham transferability and independent congestion evidence,ISS-0005;ISS-0028,RISK-0009;RISK-0031,PIT-0025,EG-0008;EG-0046,Transferability matrix lessons register and displacement checklist,Bristol transferability evidence current Nottingham refresh and independent congestion source absent,Blocks comparator-transfer impact revenue congestion mode-shift acceptability and employer-behaviour claims,Comparator Evidence Agent,Bristol transferability evidence and refreshed Nottingham official source notes,python3 scripts/validate_nottingham_transferability.py
Stage 8,Consultation launch authority material privacy and accessibility,ISS-0012,RISK-0015,,,Stage 8A consultation readiness controls,Launch authority materials privacy accessibility and response-analysis evidence absent,Blocks consultation launch,Consultation Review Agent,Authority to consult materials privacy notice accessible formats and response-analysis plan,python3 scripts/validate_consultation.py
Stage 7 and Stage 11,OBC FBC statutory submission and implementation readiness,ISS-0011,RISK-0014,PIT-0011,,OBC assurance and FBC/statutory gate controls,Evidence-populated business case legal finance consultation and operations evidence absent,Blocks OBC FBC statutory submission procurement and implementation recommendations,Integrated Case Review Agent,FBC evidence packet legal route S151 review consultation disposition DfT/WECA disposition and operations readiness,python3 scripts/validate_fbc_statutory_gate.py
Stage 17A,Editable outputs mistaken for assembled decision papers,ISS-0027,RISK-0030,PIT-0024,EG-0045,Authoring output register no-PDF checks and blocked assembly scripts,Assembled OBC FBC statutory consultation officer-review and public packs absent,Blocks distribution-readiness and assembled-output claims,Technical Editor Agent,Evidence-populated editable packs and real human review route,python3 scripts/validate_authoring_guardrails.py
Stage 19A,Public and cabinet comprehension false assurance,ISS-0029,RISK-0032,PIT-0026,EG-0047,Public guide cabinet guide risk atlas and comprehension validator,No cold-reader testing cabinet/officer user testing or rendered-visual interpretation evidence,Blocks claims that public/cabinet materials are user-tested or professional assurance,Public Officer Review Agent,Cold-reader testing cabinet/officer review accessibility review and semantic overclaim testing,python3 scripts/validate_public_cabinet_comprehension.py
Stage 22A,Source-link freshness and currentness false assurance,ISS-0032,RISK-0035,PIT-0029,EG-0049;EG-0050,Source-link freshness page liveness register refresh script and offline validator,Reachability metadata does not prove source authority legal currentness content completeness or decision-grade adequacy,Blocks source-truth legal-currentness and evidence-accuracy claims,Source Liveness Agent,Content diff legal-currentness review refreshed notes claim summaries and professional review,python3 scripts/validate_external_liveness.py
Stage 23A,Register reference linkage false assurance,ISS-0033,RISK-0036,PIT-0030,EG-0051,Register reference validator primary-key uniqueness checks and linkage-only gate wording,Resolved IDs and paths do not prove row substance risk-rating accuracy mitigation adequacy or evidence support,Blocks register-substance evidence-support and readiness claims,Register Reference Agent,Human review of row meaning risk ratings mitigations evidence support ownership status and professional-assurance dependencies,python3 scripts/validate_register_references.py
Stage 24A,Dashboard blocker consistency false assurance,ISS-0034,RISK-0037,PIT-0031,EG-0052,Dashboard consistency validator README blocker checks dashboard row and visual map labels,Visible blocker IDs do not prove blocker completeness row substance risk adequacy mitigation adequacy or evidence support,Blocks dashboard-substance risk-adequacy and readiness claims,Dashboard Consistency Agent,Full issue risk gap decision and stage-risk register review before dashboard reliance,python3 scripts/validate_dashboard_consistency.py
Stage 25A,Stage-gate report structure false assurance,ISS-0035,RISK-0038,PIT-0032,EG-0053,Stage-gate report structure validator section checks validation-command references and no-overclaim wording,Report wording does not prove command execution substantive gate correctness evidence truth source currentness blocker completeness or professional assurance,Blocks command-execution proof gate-substance evidence-truth source-currentness and readiness claims,Gate Report Consistency Agent,Fresh command execution record evidence substance review source currentness review and professional gate assurance before reliance,python3 scripts/validate_stage_gate_reports.py
Stage 26A,Validation evidence log false assurance,ISS-0036,RISK-0039,PIT-0033,EG-0054,Validation evidence register log and validator with command rows output summaries evidence files and scope limits,Logged command evidence does not prove evidence truth source currentness legal correctness blocker completeness risk adequacy professional assurance or WPL readiness,Blocks validation-substance evidence-truth source-currentness professional-assurance and readiness claims,Validation Evidence Agent,Separate evidence source legal appraisal consultation statutory and professional review before reliance,python3 scripts/validate_validation_evidence_log.py
Stage 27A,Validation evidence coverage false assurance,ISS-0037,RISK-0040,PIT-0034,EG-0055,Validation coverage validator checks Stage 26A rows log required commands commit references evidence files and scope limits,Coverage evidence does not prove command authenticity command sufficiency evidence truth source currentness legal correctness blocker completeness risk adequacy professional assurance or WPL readiness,Blocks coverage-substance command-sufficiency evidence-truth source-currentness professional-assurance and readiness claims,Validation Coverage Agent,Separate command sufficiency evidence substance source legal appraisal consultation statutory and professional review before reliance,python3 scripts/validate_validation_coverage.py
