claim_id,document_id,section,claim_text,materiality,claim_type,source_ids,location_in_source,evidence_quality,conflicting_evidence,assumption_id,reviewer,review_status,last_verified,notes
CLM-0001,stage-1-report,bristol-governance,"The September 2024 Bristol decision approved Stage One Development and OBC work, not WPL implementation.",high,governance,SRC-BCC-0004;SRC-BCC-0022,SRC-BCC-0004 around decision text; SRC-BCC-0022 lines 483-575,high,None,ASM-0004,Bristol Governance Agent,verified_simulation,2026-06-25,Keep distinction between Stage 1 implementation/procurement and WPL delivery.
CLM-0002,stage-1-report,bristol-governance,October 2025 and March 2026 WPL items were update/information items and do not evidence approval of implementation consultation FBC or preferred scheme.,high,governance,SRC-BCC-0023;SRC-BCC-0024;SRC-BCC-0025;SRC-BCC-0026,SRC-BCC-0023 line 228; SRC-BCC-0024 line 549; SRC-BCC-0025 line 150; SRC-BCC-0026 line 428,high,None,ASM-0004,Bristol Governance Addendum Agent,verified_simulation,2026-06-25,May 2025 decision record remains unresolved.
CLM-0003,statutory-route-note,statutory-route,A Bristol initial WPL working assumption should be an initial Transport Act 2000 licensing scheme order requiring Secretary of State confirmation before implementation.,high,legal,SRC-LEG-0003;SRC-LEG-0011,SRC-LEG-0003 lines 118-129; SRC-LEG-0011 note lines 222-224,high,None,ASM-0001,Legal Review Agent,verified_simulation,2026-06-25,Subject to competent authority and WECA/MCA role verification.
CLM-0004,statutory-route-note,statutory-route,The 2009 Regulations RPI confirmation exemption is narrow and does not exempt an initial Bristol WPL order.,high,legal,SRC-LEG-0011,SRC-LEG-0011 lines 89-93 and 222-224,high,None,ASM-0002,Legal Review Agent,verified_simulation,2026-06-25,Use whole-instrument source rather than table-of-contents source.
CLM-0005,stage-1-report,weca-role,Current acquired WECA/MCA sources support regional strategic context and possible conditional funding or assurance context only; they do not evidence formal WECA/MCA approval support objection consent sponsorship funding decision transferred/concurrent WPL function or no-role conclusion for Bristol WPL.,high,governance,SRC-WECA-0001;SRC-WECA-0003;SRC-WECA-0004;SRC-WECA-0006;SRC-WECA-0007;SRC-WECA-0011;SRC-WECA-0012;SRC-WECA-0013;SRC-LEG-0014;SRC-LEG-0016;SRC-LEG-0022;SRC-LEG-0023;SRC-BCC-0004;SRC-BCC-0014,SRC-WECA-0001 lines 210-222 3989-3992 and 7923-7939; SRC-WECA-0003 lines 595-609; SRC-WECA-0004 lines 3119-3122; SRC-WECA-0006 lines 117-136 373-391 and 1983-1986; SRC-WECA-0007 lines 116-120 718-724 910-930 966-976 and 1042-1046; SRC-WECA-0011 lines 69-75; SRC-WECA-0012 lines 188-212 237-246 and 2334-2340; SRC-LEG-0014 lines 649-665; SRC-LEG-0022 lines 80-85; SRC-LEG-0023 lines 80-85; SRC-BCC-0004 lines 204-211; SRC-BCC-0014 lines 253-260,high,None,ASM-0012,WECA Governance Agent,verified_simulation,2026-06-26,Current-law WECA/MCA role remains P0; direct source anchors added in Stage 2E.
CLM-0006,stage-1-report,net-proceeds,Schedule 12 requires net proceeds controls including accounts and an opening ten-year general plan plus opening five-year detailed programme.,high,legal_financial,SRC-LEG-0004;SRC-LEG-0012,SRC-LEG-0004 lines 274-299 and 316-343; SRC-LEG-0012 whole instrument,high,None,ASM-0001,Legal Review Agent,verified_simulation,2026-06-25,Finance/accounting procedure not yet produced.
CLM-0007,stage-1-report,operations,The 2009 Regulations require operational controls for PCNs representations appeal charge certificates recovery and notice service.,high,operations,SRC-LEG-0011,SRC-LEG-0011 lines 120-190 and 227-230,high,None,ASM-0006,Spatial Data and Operations Agent,verified_simulation,2026-06-25,Schemas added but operational procedures remain open.
CLM-0008,stage-1-report,comparators,Nottingham and comparator evidence may inform operating precedent and transferability questions but does not support direct Bristol revenue congestion or mode-share claims.,medium,evidence_transferability,SRC-NOTT-0001;SRC-NOTT-0002;SRC-ACADEMIC-0002;SRC-TFL-0001;SRC-UK-0003,Synthesis review in review/peer_review/stage-1-comparator-evidence-review.md; direct source-line anchors still required before business-case prose,medium,SRC-ACADEMIC-0001 failed acquisition,ASM-0005,Comparator Evidence Agent,verified_simulation_synthesis,2026-06-25,Do not use independent congestion-reduction claims until replacement source acquired.
CLM-0009,stage-1-report,appraisal,The repo has a credible appraisal spine but no operational ASR OAR ASST model cards uncertainty log or appraisal outputs.,high,appraisal,SRC-DFT-0001;SRC-DFT-0002;SRC-HMT-0001;SRC-HMT-0004;SRC-WECA-0006,Synthesis review in review/analytical_assurance/stage-1-appraisal-tag-assurance-review.md; absence confirmed from repo model folders,medium,None,,Appraisal Guidance Agent,verified_simulation_synthesis,2026-06-25,Blocks professional OBC/FBC authoring.
CLM-0010,stage-2b-role-map,statutory-route,"For an initial England-only WPL licensing scheme, Secretary of State confirmation is the controlled statutory route; DfT engagement is not confirmation.",high,legal,SRC-LEG-0003;SRC-LEG-0020;SRC-LEG-0011,SRC-LEG-0003 lines 118-127; SRC-LEG-0020 lines 124-132; SRC-LEG-0011 lines 89-96 and 222-235,high,None,ASM-0001,Legal Review Agent,verified_simulation,2026-06-26,Does not close Bristol order-maker or submitter route.
CLM-0011,stage-2c-authority-route,authority-status-source-chain,"For simulation drafting Bristol City Council may be treated as the proposed Bristol local licensing authority under investigation, but the internal order-making and statutory submission route remains open.",high,legal,SRC-LEG-0017;SRC-LEG-0018;SRC-LEG-0020;SRC-LEG-0025;SRC-LEG-0008;SRC-LEG-0024;SRC-BCC-0001,SRC-LEG-0017 lines 119-131; SRC-LEG-0018 lines 120-123; SRC-LEG-0020 lines 170-180; SRC-LEG-0025 lines 121-145; SRC-LEG-0008 lines 89-102; SRC-LEG-0024 lines 83-92 102-109 and 143-145; SRC-BCC-0001 lines 21-29,high,None,ASM-0010,Legal Review Agent,verified_simulation,2026-06-26,Working control only; does not name the final Bristol decision-maker or submitter.
CLM-0012,stage-2d-decision-route,bristol-internal-governance,"Transport and Connectivity Committee is the controlled simulation route for WPL OBC progression and FBC decisions, but final WPL licensing-scheme order-making and Secretary of State submission remain unresolved.",high,governance_legal,SRC-BCC-0004;SRC-BCC-0008;SRC-BCC-0009;SRC-BCC-0014;SRC-BCC-0016;SRC-BCC-0017;SRC-BCC-0029;SRC-BCC-0030;SRC-BCC-0031;SRC-BCC-0032;SRC-BCC-0033;SRC-BCC-0034,SRC-BCC-0004 lines 200-224; SRC-BCC-0016 lines 325-328 and 371-373; SRC-BCC-0017 lines 314-316; SRC-BCC-0009 lines 190-197; SRC-BCC-0014 lines 223-228; SRC-BCC-0008 lines 124-130; SRC-BCC-0029 lines 200-210; SRC-BCC-0032 lines 267-295 586-660 847-853 and 930-938; SRC-BCC-0030 lines 565-620 and 629-695; SRC-BCC-0033 lines 21-91; SRC-BCC-0034 lines 259-325,high,None,ASM-0011,Legal Review Agent,verified_simulation,2026-06-26,Simulation route only; final order-maker and submitter still need legal Monitoring Officer confirmation.
CLM-0013,stage-2e-weca-mca-role-classification,weca-role,WECA/MCA may be cited as strategic context and possible conditional funding or assurance context only; current scoped sources do not establish formal decision status consent no-role or funding dependency.,high,governance_legal_funding,SRC-WECA-0001;SRC-WECA-0003;SRC-WECA-0004;SRC-WECA-0006;SRC-WECA-0007;SRC-WECA-0011;SRC-WECA-0012;SRC-WECA-0013;SRC-LEG-0014;SRC-LEG-0016;SRC-LEG-0022;SRC-LEG-0023;SRC-BCC-0004;SRC-BCC-0014;SRC-BCC-0006,SRC-WECA-0001 lines 210-222 3989-3992 and 7923-7939; SRC-WECA-0006 lines 117-136 373-391 and 1983-1986; SRC-WECA-0007 lines 116-120 718-724 910-930 966-976 and 1042-1046; SRC-WECA-0012 lines 188-212 237-246 and 2334-2340; SRC-LEG-0014 lines 649-665; SRC-LEG-0016 lines 62-68; SRC-LEG-0022 lines 80-85; SRC-LEG-0023 lines 80-85; SRC-BCC-0004 lines 204-211; SRC-BCC-0014 lines 253-260; SRC-BCC-0006 lines 1264-1272,high,None,ASM-0012,WECA Governance Agent,verified_simulation,2026-06-26,Stage 2E language control only; no current-law no-role or consent conclusion.
CLM-0014,stage-2f-current-law-function-map,weca-current-law,"Current scoped repo evidence does not identify a WPL-specific transferred or concurrent WECA/MCA order-making function, but that is a scoped evidence-control finding only and does not establish no-role, no-consent or no-funding-dependency conclusions.",high,legal_governance,SRC-LEG-0017;SRC-LEG-0018;SRC-LEG-0020;SRC-WECA-0011;SRC-WECA-0012;SRC-WECA-0013;SRC-LEG-0014;SRC-LEG-0016;SRC-LEG-0022;SRC-LEG-0023,SRC-LEG-0017 lines 117-131; SRC-LEG-0018 lines 120-123; SRC-LEG-0020 lines 168-182; SRC-WECA-0011 lines 77-81; SRC-WECA-0012 lines 188-214 237-246 and 302-326; SRC-WECA-0013 lines 792-804 and 1978-1986; SRC-LEG-0014 lines 649-665; SRC-LEG-0016 lines 62-68; SRC-LEG-0022 lines 80-85; SRC-LEG-0023 lines 80-85,high,None,ASM-0012,Legal Review Agent,verified_simulation,2026-06-26,Stage 2F current-law source-map control only; Stage 2G narrows public meeting records but funding-assurance and no-role consent checks remain open.
CLM-0015,stage-2g-meeting-record-search,weca-public-record-search,A bounded official WECA/ModernGov public-record search on 26 June 2026 did not locate a formal WECA/MCA or Joint Committee decision approval support objection consent sponsorship or funding decision specifically for a Bristol Workplace Parking Levy; this is a bounded search result only and not a no-role or no-consent conclusion.,high,governance_legal_evidence,SRC-WECA-0017;SRC-WECA-0018;SRC-WECA-0019;SRC-WECA-0020;SRC-WECA-0021;SRC-WECA-0022;SRC-WECA-0023;SRC-WECA-0024;SRC-WECA-0025;SRC-WECA-0026;SRC-WECA-0027;SRC-WECA-0028;SRC-WECA-0029,SRC-WECA-0017 lines 34-39; SRC-WECA-0018 lines 442-453 and 1189-1217; SRC-WECA-0019 lines 364-379; SRC-WECA-0021 lines 88-119 and 617-624; SRC-WECA-0023 lines 1336-1342 and 2456-2478; SRC-WECA-0029 lines 20-29 68-100 109-117 and 233-236,high,None,ASM-0012,WECA Governance Agent,verified_simulation,2026-06-26,Stage 2G public-record search control only; funding-assurance and no-role consent checks remain open.
CLM-0016,stage-2h-package-funding-assurance,weca-package-trigger-classification,WECA/MCA CRSTS TCR mass-transit investment-fund and delivery-assurance records are conditional package-level funding/assurance interface evidence only; they do not evidence WECA/MCA approval support objection consent sponsorship funding approval statutory confirmation WPL order-making power transferred WPL function or no-role conclusion for the Bristol WPL licensing scheme.,high,governance_legal_funding,SRC-WECA-0006;SRC-WECA-0007;SRC-WECA-0024;SRC-WECA-0028;SRC-WECA-0029;SRC-BCC-0004;SRC-BCC-0014,SRC-WECA-0006 lines 117-136 373-391 and 1983-1986; SRC-WECA-0007 lines 116-120 718-724 918-976 and 1042-1046; SRC-WECA-0024 lines 34-56 269-314 and 347-409; SRC-WECA-0028 lines 506-516 and 682-684; SRC-WECA-0029 lines 20-29 68-100 109-117 and 228-236; SRC-BCC-0004 lines 204-211; SRC-BCC-0014 lines 253-260,high,None,ASM-0012,Funding Assurance Agent,verified_simulation,2026-06-26,Stage 2H trigger taxonomy only; named package funding and assurance route still required before OBC/FBC reliance.
CLM-0017,stage-2h-package-funding-assurance,mca-assurance-not-statutory-approval,MCA assurance framework relevance is conditional on a funding assurance or programme trigger and is not statutory WPL approval consent support sponsorship or Secretary of State confirmation.,high,governance_legal_funding,SRC-WECA-0006;SRC-WECA-0007;SRC-WECA-0029,SRC-WECA-0006 lines 373-391; SRC-WECA-0007 lines 718-724 918-976 and 966-976; SRC-WECA-0029 lines 109-117,high,None,ASM-0012,Legal Review Agent,verified_simulation,2026-06-26,Use as no-overclaim control in Strategic Financial and Management Case drafting.
CLM-0018,stage-2i-final-order-submission-route,bristol-final-order-submission-route,Local evidence does not support closing the Bristol final WPL licensing-scheme order-maker statutory submitter or signatory route; it supports only controlled route options and mandatory future decision-box wording.,high,legal_governance,SRC-LEG-0017;SRC-LEG-0018;SRC-LEG-0003;SRC-LEG-0020;SRC-LEG-0011;SRC-BCC-0029;SRC-BCC-0030;SRC-BCC-0032;SRC-BCC-0033;SRC-BCC-0034,SRC-LEG-0017 lines 125-131; SRC-LEG-0018 lines 120-123; SRC-LEG-0003 lines 118-127; SRC-LEG-0020 lines 123-132; SRC-LEG-0011 lines 89-93 and 222-234; SRC-BCC-0029 lines 200-210; SRC-BCC-0030 lines 565-620 and 629-695; SRC-BCC-0032 lines 267-295 586-631 847-853 and 930-938; SRC-BCC-0033 lines 21-91; SRC-BCC-0034 lines 259-325,high,None,ASM-0011,Legal Review Agent,verified_simulation,2026-06-26,Stage 2I decision-box control only; RISK-0001 remains P0.
CLM-0019,stage-2j-dft-procedural-expectations,dft-generic-business-case-tag,"Generic DfT transport business-case guidance and TAG support Five Case Model, proportionality, appraisal, modelling and VFM alignment for the simulated OBC/FBC; they do not establish a WPL-specific confirmation dossier format.",high,appraisal_legal,SRC-DFT-0001;SRC-DFT-0002,SRC-DFT-0001 lines 148-175 and 260-304; SRC-DFT-0002 lines 155-169 and 180-192,high,None,ASM-0001,Appraisal Guidance Agent,verified_simulation,2026-06-26,Use for OBC/FBC structure and analytical controls only.
CLM-0020,stage-2j-dft-procedural-expectations,dft-wpl-procedure-search-control,Bounded GOV.UK search-control snapshots on 26 June 2026 did not surface a WPL-specific public DfT confirmation procedure in the captured visible results; this is search-control evidence only and not proof of absence or DfT acceptance.,high,legal_evidence,SRC-DFT-0003;SRC-DFT-0004,SRC-DFT-0003 lines 95-105 and 395-433; SRC-DFT-0004 lines 95-105 and 400-465,medium,None,ASM-0001,Legal Review Agent,verified_simulation,2026-06-26,ISS-0008 and EG-0021 remain open until a DfT response or authoritative WPL-specific source is logged.
CLM-0021,stage-2k-revocation-variation,order-change-route,WPL making variation and revocation must be treated as order-change routes: ordinary variations require confirmation unless a specific exemption applies; the only mapped exemption is a narrow RPI-only variation exemption; revocation is by order but publication consultation DfT process and Bristol decision route remain open.,high,legal_consultation,SRC-LEG-0026;SRC-LEG-0003;SRC-LEG-0011;SRC-LEG-0027;SRC-LEG-0020,SRC-LEG-0026 lines 117-124; SRC-LEG-0003 lines 120-123; SRC-LEG-0011 lines 89-93 and 222-234; SRC-LEG-0027 lines 117-134; SRC-LEG-0020 lines 123-132,high,None,ASM-0001,Legal Review Agent,verified_simulation,2026-06-26,Stage 2K partial control only; EG-0022 remains partially closed not closed.
CLM-0022,stage-5a-options-appraisal-control,appraisal-readiness,Stage 5A creates options appraisal model-assurance benefits-treatment transferability uncertainty and reappraisal controls only; it does not create an OAR agreed ASR completed ASST model output BCR VFM category shortlist preferred option consultation readiness OBC/FBC readiness or statutory submission readiness.,high,appraisal_control,SRC-DFT-0001;SRC-DFT-0002;SRC-HMT-0001,SRC-DFT-0001 and SRC-DFT-0002 generic guidance controls; SRC-HMT-0001 Green Book control; repo absence of model outputs confirmed by Stage 5A QA,medium,None,,TAG/Appraisal Review Agent,verified_simulation,2026-06-26,Stage 5A control only; ISS-0004 and RISK-0005 remain open.
CLM-0023,stage-3a-strategic-assessment-control,strategic-readiness,Stage 3A creates strategic assessment package funding assurance and benefits controls only; it does not create a Strategic Case completed problem definition baseline final objectives theory of change investment package benefit funding assurance route WECA/MCA position consultation readiness OBC/FBC readiness or statutory submission readiness.,high,strategic_control,,Repo absence confirmed by Stage 3A QA and Stage 3A gate report,medium,None,,Strategic Case Review Agent,verified_simulation,2026-06-26,Stage 3A control only; ISS-0009 and RISK-0013 remain open.
CLM-0024,stage-6a-obc-readiness-control,obc-readiness,Stage 6A creates OBC readiness and assembly-blocking controls only; it does not create an assembled OBC officer-review DOCX approval readiness consultation launch preferred option BCR VFM revenue commercial operational statutory WECA/MCA or DfT readiness.,high,obc_control,,Repo absence confirmed by Stage 6A QA and Stage 6A gate report,medium,None,,Integrated Case Review Agent,verified_simulation,2026-06-26,Stage 6A control only; ISS-0011 and RISK-0014 remain open.
CLM-0025,stage-8a-consultation-readiness-control,consultation-readiness,Stage 8A creates consultation launch material stakeholder privacy accessibility response-data analysis and no-go controls only; it does not create consultation launch authority public-law certification consultation materials questionnaire public HTML privacy notice response data analysis readiness officer-distribution output OBC readiness or statutory submission readiness.,high,consultation_control,,Repo absence confirmed by Stage 8A consultation QA and Stage 8A gate report,medium,None,,Consultation Review Agent,verified_simulation,2026-06-26,Stage 8A control only; ISS-0012 and RISK-0015 remain open.
CLM-0026,stage-9a-public-officer-assurance-control,public-officer-assurance,Stage 9A creates public and officer assurance controls only; it does not approve a Bristol WPL create legal advice assemble an OBC or FBC select a boundary launch consultation create a DfT or WECA/MCA position produce model outputs or close statutory submission readiness.,high,public_officer_control,,Stage 9A officer-pack QA Nottingham QA blocked gate checks and Stage 9A gate report,medium,None,,Officer Assurance Agent,verified_simulation,2026-06-26,Repo absence confirmed by Stage 9A QA; Stage 9A control only; ISS-0013 and RISK-0016 remain controlled open.
CLM-0027,stage-7a-obc-assurance-control,obc-assurance,Stage 7A creates OBC assurance gate controls only; it does not approve an OBC create a proceed recommendation create an officer-review DOCX authorise consultation or close Stage 7 OBC gate readiness.,high,obc_control,,Stage 7A OBC assurance QA and blocked OBC gate checks,medium,None,,Integrated Case Review Agent,verified_simulation,2026-06-26,Repo absence confirmed by Stage 7A QA; Stage 7 OBC gate remains blocked.
CLM-0028,stage-10a-statutory-dossier-control,statutory-dossier,Stage 10A creates statutory dossier controls only; it does not create a statutory submission certified scheme order DfT-accepted dossier Secretary of State confirmation request completed consultation statement FBC or implementation-ready legal pack.,high,statutory_control,,Stage 10A statutory dossier QA and blocked submission gate checks,medium,None,,Legal Review Agent,verified_simulation,2026-06-26,Repo absence confirmed by Stage 10A QA; Stage 10 statutory submission remains blocked.
CLM-0029,stage-11a-fbc-statutory-gate-control,fbc-statutory-gate,Stage 11A creates final FBC/statutory gate controls only; it does not approve an FBC approve a scheme order authorise statutory submission approve procurement or recommend implementation.,high,fbc_statutory_control,,Stage 11A FBC/statutory gate QA and blocked gate checks,medium,None,,Integrated Case Review Agent,verified_simulation,2026-06-26,Repo absence confirmed by Stage 11A QA; Stage 11 FBC/statutory gate remains blocked.
CLM-0030,stage-12a-public-release-control,public-release,Stage 12A records that the GitHub repository is public and creates public-release controls only; it does not approve the WPL create legal advice launch consultation assemble an OBC or FBC authorise statutory submission or replace professional sign-off.,high,publication_control,,gh repo view visibility PUBLIC; Stage 12A public-release QA and blocked WPL gate checks,medium,None,,Public Release Review Agent,verified_simulation,2026-06-26,Repo absence confirmed by Stage 12A QA; public visibility is controlled only and all WPL approval gates remain blocked.
CLM-0031,stage-13a-critical-path-handover-control,handover,Stage 13A creates critical-path handover controls only; it maps open blockers to work packages and a control-only 90-day plan but does not approve a programme authorise spend or procurement close blockers launch consultation assemble an OBC or FBC authorise statutory submission or replace officer sign-off.,high,handover_control,,Stage 13A handover QA and blocked gate checks,medium,None,,Handover Review Agent,verified_simulation,2026-06-26,Repo absence confirmed by Stage 13A QA; critical path is not approval and all WPL readiness gates remain blocked.
CLM-0032,stage-14a-source-note-control,source-notes,Stage 14A creates a source-note pilot only; it does not verify every claim complete evidence review close ISS-0007 assemble an OBC or FBC authorise consultation or replace legal appraisal evidence or officer review.,high,source_note_control,,Stage 14A source-note QA and blocked gate checks,medium,None,,Evidence Librarian,verified_simulation,2026-06-26,Repo absence confirmed by Stage 14A QA; source-note backlog remains controlled open.
CLM-0033,stage-14b-public-repo-secret-scan-control,public-repo-security,Stage 14B removes the current-tree GitGuardian Grafana-token-pattern collision from tracked public evidence files and adds a redacted secret-pattern scan to validation; it does not rewrite prior git history or prove remote alert closure.,high,public_release_security_control,,scripts/scan_secrets.py; evidence/source_register.csv statuses for SRC-BCC-0005 SRC-BCC-0011 SRC-BCC-0015; review/stage_gate_reports/stage-14b-public-repo-secret-scan-report.md,medium,Git history still contains prior blobs until separate approved rewrite,,Public Release Review Agent,verified_simulation,2026-06-26,Secret scanner output is redacted and should not be used as proof that an issued token is safe; token revocation/rotation is external to the repo. Repo absence confirmed by Stage 14B current-tree secret scan and documented residual history scan failure.
